name,sex_or_gender,date_of_birth,country_of_citizenship,place_of_birth
Mark Helprin,male,1947-06-28,United States of America,New York City
Anna Quindlen,female,1952-07-08,United States of America,Philadelphia
Saud Alsanousi,male,1981-00-00,Kuwait,Kuwait
Karl Marlantes,male,1944-12-24,United States of America,Astoria
Brother Lawrence,male,1614-01-01,France,Hériménil
Pablo Neruda,male,1904-07-12,Chile,Parral
Rick Yancey,male,1962-11-04,United States of America,Miami
Tom Brokaw,male,1940-02-06,United States of America,Webster
Marcus Pfister,male,1960-07-30,Switzerland,Bern
Dav Pilkey,male,1966-03-03,United States of America,Cleveland
Michael Punke,male,1964-12-07,United States of America,Torrington
Gertrude Chandler Warner,female,1890-04-16,United States of America,Putnam
Mark Haddon,male,"1962-09-26, 1962-10-28",United Kingdom,Northampton
Mario Adorf,male,1930-09-08,"Switzerland, Germany",Zürich
Steve Harvey,male,1957-01-17,United States of America,Welch
Jim Lee,male,"1964-08-11, 1964-01-01","United States of America, South Korea",Seoul
Elizabeth Gilbert,female,1969-07-18,United States of America,Waterbury
Walt Whitman,male,1819-05-31,United States of America,West Hills
Charlie Adlard,male,1966-08-04,England,Shrewsbury
Anthony Horowitz,male,1955-04-05,United Kingdom,"Stanmore, London"
Bryan Lee O'Malley,male,1979-02-21,Canada,London
Georges Bataille,male,1897-09-10,France,Billom
John D. Fitzgerald,male,1906-02-03,United States of America,Price
Edward Abbey,male,1927-01-29,United States of America,Home
Naomi Klein,female,"1970-05-08, 1970-05-05",Canada,Montreal
Kathleen Tessaro,female,1965-06-01,United States of America,Pittsburgh
Madeline Miller,female,1978-07-24,United States of America,Boston
Justin Halpern,male,1980-09-03,United States of America,San Diego
Miguelanxo Prado,male,1958-07-16,Spain,A Coruña
Myla Goldberg,female,1971-11-19,United States of America,
Robert Giroux,male,1914-04-08,United States of America,Jersey City
Kent Haruf,male,1943-02-24,United States of America,"Pueblo, Pueblo County"
Sharon Creech,female,1945-07-29,United States of America,South Euclid
Katherine Howe,female,1977-01-01,United States of America,Houston
Randall Munroe,male,1984-10-17,United States of America,Easton
Vikram Seth,male,1952-06-20,India,Kolkata
Yōko Ogawa,female,1962-03-30,Japan,Okayama
Hiro Fujiwara,female,1981-12-23,Japan,Hyōgo Prefecture
Alexander Gordon Smith,male,1979-02-27,United Kingdom,Norwich
Chuck Dixon,male,"1954-04-14, 1954-04-13",United States of America,Scotland
Jerry Pournelle,male,1933-08-07,United States of America,Shreveport
Charles Templeton,male,"1915-10-07, 1915-01-01",Canada,Toronto
Richard Shaull,male,"1919-01-01, 1919-11-24",United States of America,Felton
Andy Weir,male,1972-06-16,United States of America,Davis
Jeff Kinney,male,1971-02-19,United States of America,Fort Washington
Jon Scieszka,male,1954-09-08,United States of America,Flint
Dalton Trumbo,male,1905-12-09,United States of America,Montrose
Lois McMaster Bujold,female,1949-11-02,United States of America,Columbus
Jo Duffy,female,1954-02-09,United States of America,New York City
John Romita Jr.,male,1956-08-17,United States of America,Brooklyn
Esther Hicks,female,1948-03-05,United States of America,Coalville
Gentry Lee,male,1942-03-29,United States of America,New York City
Ben Carson,male,1951-09-18,United States of America,Detroit
Ken Akamatsu,male,1968-07-05,Japan,Kanagawa Prefecture
Anita Diamant,female,1951-06-27,United States of America,Brooklyn
Richard Adams,male,1920-05-09,United Kingdom,Newbury
Kaye Gibbons,female,1960-05-05,United States of America,Nash County
Greg Pak,male,1968-08-23,United States of America,Dallas
Walter Benjamin,male,1892-07-15,"German Empire, German Reich",Berlin
Alan Cumming,male,1965-01-27,"United Kingdom, United States of America",Aberfeldy
Marie Rutkoski,female,1977-03-05,United States of America,Hinsdale
Anthony Heald,male,1944-08-25,United States of America,New Rochelle
Malorie Blackman,female,1962-02-08,United Kingdom,Clapham
Alan Paton,male,1903-01-11,South Africa,Pietermaritzburg
Akira Toriyama,male,1955-04-05,Japan,Nagoya
Richard Starkings,male,1962-01-27,United Kingdom,Liverpool
Jack London,male,1876-01-12,United States of America,San Francisco
Ayn Rand,female,1905-02-02,"Russian Empire, Soviet Union, United States of America, Russian Republic, Russian Soviet Federative Socialist Republic",Saint Petersburg
Jon Krakauer,male,1954-04-12,United States of America,Brookline
Mary Downing Hahn,female,1937-12-09,United States of America,College Park
Kazuo Ishiguro,male,1954-11-08,"United Kingdom, Japan",Nagasaki
David Brin,male,1950-10-06,United States of America,Glendale
Jasper Fforde,male,1961-01-11,United Kingdom,London
Samantha Bee,female,1969-10-25,"Canada, United States of America",Toronto
Steve Lieber,male,1967-05-19,United States of America,Pittsburgh
Sarah MacLean,female,1978-12-17,United States of America,Lincoln
Nelson DeMille,male,1943-08-23,United States of America,Jamaica
Ann Leckie,female,1966-03-02,United States of America,Toledo
Patrick Carman,male,1966-02-27,United States of America,Salem
Michael Herr,male,1940-04-13,United States of America,"Syracuse, Lexington"
William Pène du Bois,male,1916-05-09,United States of America,Nutley
Jon Klassen,male,1981-11-29,Canada,Winnipeg
Jane Smiley,female,"1949-09-26, 1949-01-01",United States of America,Los Angeles
Jenna Jameson,female,1974-04-09,United States of America,Las Vegas
Jean de Brunhoff,male,1899-12-09,France,Paris
Gary Larson,male,1950-08-14,United States of America,University Place
Brian K. Vaughan,male,1976-07-17,United States of America,Cleveland
Pattie Boyd,female,1944-03-17,United Kingdom,Taunton
Jeff Shaara,male,1952-02-21,United States of America,New Brunswick
Andy Andrews,male,1959-05-22,United States of America,Orange Beach
Benjamin Graham,male,1894-05-08,United States of America,London
Dave Navarro,male,"1967-06-07, 1967-07-06",United States of America,Santa Monica
Amy Schumer,female,1981-06-01,United States of America,Manhattan
Amy Chua,female,1962-10-26,United States of America,Champaign
Jim Starlin,male,1949-10-09,United States of America,Detroit
Luke Rhinehart,male,1932-11-15,United States of America,Albany
Mario Benedetti,male,1920-09-14,Uruguay,Paso de los Toros
Iris Murdoch,female,1919-07-15,"Ireland, United Kingdom",Dublin
James M. McPherson,male,1936-10-11,United States of America,Valley City
Marion Zimmer Bradley,female,1930-06-03,United States of America,Albany
Val McDermid,female,1955-06-04,United Kingdom,Kirkcaldy
John Bedford Lloyd,male,1956-01-02,United States of America,New Haven
Abby McDonald,female,1986-01-01,United Kingdom,Sussex
Amy Kim Ganter,female,1980-02-21,United States of America,Binghamton
Darynda Jones,female,1965-08-00,United States of America,Friona
Carol Tavris,female,1944-09-17,United States of America,Los Angeles
Ian McEwan,male,1948-06-21,United Kingdom,Aldershot
Robert Kirkman,male,1978-11-30,United States of America,Richmond
Peter V. Brett,male,1973-02-08,Zimbabwe,New Rochelle
Kentaro Miura,male,1966-07-11,Japan,Chiba
Gerda Weissmann Klein,female,1924-05-08,Poland,Biała
Anthony Kiedis,male,1962-11-01,United States of America,Grand Rapids
Michael Braungart,male,1958-02-07,Germany,Schwäbisch Gmünd
Herman Wouk,male,1915-05-27,United States of America,The Bronx
Oliver Pötzsch,male,1970-12-20,Germany,Munich
Walter Moers,male,"1957-05-24, 1957-01-01",Germany,Mönchengladbach
Alex Kendrick,male,1970-06-11,United States of America,Athens
Gary Taubes,male,1956-04-30,United States of America,Rochester
Todd Hanson,male,2000-01-01,United States of America,Chicago
Robin McKinley,female,1952-11-16,United States of America,Warren
James Howe,male,"1946-08-01, 1946-08-02",United States of America,Oneida
Miep Gies,female,1909-02-15,Kingdom of the Netherlands,Vienna
Lisa See,female,1955-02-18,United States of America,Paris
Barbara Hambly,female,1951-08-28,United States of America,San Diego
Xan Fielding,male,1918-11-26,"United Kingdom, United Kingdom of Great Britain and Ireland",British India
Sonya Sones,female,1950-01-01,United States of America,Boston
Stella Gibbons,female,1902-01-05,United Kingdom,London
Ivan Doig,male,1939-06-27,United States of America,White Sulphur Springs
Juliet Marillier,female,1948-07-27,New Zealand,Dunedin
Stephen Fry,male,"1957-08-24, 1957-01-01",United Kingdom,Hampstead
Dashiell Hammett,male,1894-05-27,United States of America,Baltimore
Tony Goldwyn,male,1960-05-20,United States of America,Los Angeles
Ben Fountain,male,1958-01-01,United States of America,"Chapel Hill, North Carolina"
Charles Dickens,male,"1812-01-01, 1812-02-07","United Kingdom, United Kingdom of Great Britain and Ireland",Landport
John McGahern,male,1934-11-12,Ireland,Dublin
Kay Thompson,female,"1909-11-09, 1912-11-09",United States of America, Louis
Yoshiki Nakamura,female,1969-06-17,Japan,Tokushima Prefecture
Thomas Paine,male,"1737-02-09, 1737-01-29","Great Britain, United States of America, Great Britain, Kingdom of France, Kingdom of France, French First Republic, United States of America",Thetford
Rashmi Bansal,female,1985-01-01,India,Mumbai
Erich Maria Remarque,male,1898-06-22,"Germany, United States of America",Osnabrück
Mohsin Hamid,male,1971-07-23,"Pakistan, United Kingdom",Lahore
Phil Knight,male,1938-02-24,United States of America,Portland
HaveYouSeenThisGirL,female,1994-02-11,Philippines,San Pablo
Claudia Gray,female,1970-06-12,United States of America,New York City
Christopher Gill,male,1936-10-28,United Kingdom,Wolverhampton
Oliver Sacks,male,1933-07-09,United Kingdom,Willesden
Michele Wrightson,female,1941-10-25,United States of America,New Orleans
Robert J. Sawyer,male,1960-04-29,"Canada, United States of America",Ottawa
J. Michael Straczynski,male,1954-07-17,United States of America,Paterson
Greg Bear,male,1951-08-20,United States of America,San Diego
David Benioff,male,1970-09-25,United States of America,New York City
Giles Andreae,male,1966-03-16,United Kingdom,London
Jonathan Cahn,male,1961-12-21,United States of America,New Jersey
Holly Madison,female,1979-12-23,United States of America,Astoria
Guy Debord,male,1931-12-28,France,Paris
Ian Caldwell,male,1976-03-18,United States of America,Fairfax County
Jamie McGuire,male,1983-11-13,United Kingdom,Birkenhead
John Darnielle,male,1967-03-16,United States of America,Bloomington
Stella Duffy,female,1963-01-01,United Kingdom,Woolwich
Richard Zenith,male,1956-02-23,United States of America,
Garth Risk Hallberg,male,1978-12-01,United States of America,Louisiana
Steven Pressfield,male,1943-09-01,"Trinidad and Tobago, United States of America",Port of Spain
Ruth Reichl,female,1948-01-16,United States of America,New York City
Thomas Hardy,male,1840-06-02,United Kingdom,Dorchester
Richard Branson,male,1950-07-18,United Kingdom,Blackheath
Chetan Bhagat,male,1974-04-22,India,Delhi
Justin Torres,male,1980-01-01,United States of America,New York
Ben Sherwood,male,1964-02-12,United States of America,Los Angeles
Cassandra Clare,female,"1973-07-27, 1973-07-31","United States of America, Iran",Tehran
Irving Shulman,male,1913-05-21,United States of America,Brooklyn
Lily Koppel,female,1981-03-15,United States of America,Chicago
Warren Ellis,male,1968-02-16,United Kingdom,Essex
Helen Oxenbury,female,1938-06-02,United Kingdom,Ipswich
Karl Marx,male,1818-05-05,Kingdom of Prussia,Trier
Mark Victor Hansen,male,1948-01-08,United States of America,Waukegan
David Langford,male,1953-04-10,"United Kingdom, Wales",Newport
Hablot Knight Browne,male,1815-07-12,United Kingdom of Great Britain and Ireland,Lambeth
Arthur Hailey,male,1920-04-05,"United Kingdom, Canada, United Kingdom of Great Britain and Ireland",Luton
William Faulkner,male,1897-09-25,United States of America,New Albany
Rick Atkinson,male,1952-11-16,United States of America,Munich
Elmore Leonard,male,1925-10-11,United States of America,New Orleans
Peggy Orenstein,female,"1961-11-01, 1961-11-22",United States of America,Minneapolis
Anne Sexton,female,1928-11-09,United States of America,Newton
Zoë Heller,female,1965-07-07,United Kingdom,St Pancras
Kate Morton,female,1976-07-19,Australia,Berri
Åsne Seierstad,female,1970-02-10,Norway,"Oslo, Lillehammer"
Christopher Golden,male,1967-07-15,United States of America,Massachusetts
Diana Wynne Jones,female,1934-08-16,United Kingdom,London
Pierre Boulle,male,1912-02-20,France,Avignon
Allen Say,male,1937-08-28,United States of America,Yokohama
Kevin J. Anderson,male,1962-03-27,United States of America,Racine
Gustave Flaubert,male,1821-12-12,France,Rouen
William Styron,male,1925-06-11,United States of America,Newport News
Carol Rifka Brunt,female,1970-01-01,United States of America,Queens
Norman Vincent Peale,male,1898-05-31,United States of America,Bowersville
Samuel Shem,male,1944-01-01,United States of America,Hudson
James Patterson,male,1947-03-22,United States of America,Newburgh
Giovanni Pontiero,male,1932-02-10,United Kingdom,Glasgow
Yoko Kamio,female,1966-06-29,Japan,Tokyo
Margaret Stohl,female,1967-11-14,United States of America,Pasadena
Sophie Kinsella,female,1969-12-12,United Kingdom,London
Brian Sibley,male,1949-07-14,United Kingdom,Wandsworth
Bret Lott,male,1958-10-08,United States of America,Los Angeles
Honoré de Balzac,male,1799-05-20,France,Tours
Jed Rubenfeld,male,1959-01-01,United States of America,
Edgar Allan Poe,male,1809-01-19,United States of America,Boston
Sydney Taylor,female,1904-10-30,United States of America,New York City
Jerry Pinkney,male,1939-12-22,United States of America,Philadelphia
Irving Stone,male,1903-07-14,United States of America,San Francisco
Kate Nelligan,female,1950-03-16,Canada,London
Tom Robbins,male,1932-07-22,United States of America,Blowing Rock
Dale Wasserman,male,1914-11-02,United States of America,Rhinelander
Bertrand Russell,male,1872-05-18,"United Kingdom, United Kingdom of Great Britain and Ireland",Trellech
Jess Walter,male,1965-07-20,United States of America,Spokane
Lou Aronica,male,1958-01-08,United States of America,United States of America
Neil Strauss,male,1973-10-13,United States of America,Chicago
Caroline B. Cooney,female,1947-05-10,United States of America,Greenwich
Haruki Murakami,male,1949-01-12,Japan,Kyoto
Elizabeth Kostova,female,1964-12-26,United States of America,New London
Elizabeth Haydon,female,1965-01-01,United States of America,Michigan
Chihiro Iwasaki,female,1918-12-15,Japan,Takefu
Paulo Coelho,male,1947-08-24,Brazil,Rio de Janeiro
Phyllis Eisenstein,female,1946-02-26,United States of America,Chicago
Reza Aslan,male,1972-05-03,Iran,Tehran
Max Frisch,male,1911-05-15,Switzerland,Zürich
Jerome K. Jerome,male,1859-05-02,United Kingdom of Great Britain and Ireland,Walsall
Randall Wallace,male,1949-07-28,United States of America,Jackson
Ashlee Vance,male,1977-01-01,United States of America,South Africa
Dan Jurgens,male,1959-06-27,United States of America,Ortonville
Wally Lamb,male,1950-10-17,United States of America,Norwich
Larry Bird,male,1956-12-07,United States of America,West Baden Springs
Annette Curtis Klause,female,1953-06-23,United States of America,Bristol
Bruce Degen,male,1945-06-14,United States of America,Brooklyn
Alfred Bester,male,1913-12-18,United States of America,Manhattan
Rob Guillory,male,1982-06-02,United States of America,Lafayette
Langston Hughes,male,"1902-02-01, 1901-02-01",United States of America,Joplin
Gary Saul Morson,male,1948-01-01,United States of America,New York City
Kevin Henkes,male,1960-11-27,United States of America,Racine
Peter Ackroyd,male,1949-10-05,United Kingdom,London
Carson Ellis,female,1975-10-05,United States of America,Vancouver
Chad Harbach,male,1975-01-01,United States of America,Racine
Lillian Hoban,female,1925-05-18,United States of America,Philadelphia
Ram Charan,male,1985-03-27,India,Chennai
Judith Kerr,female,1923-06-14,Germany,Berlin
Orlagh Cassidy,female,1968-08-17,United States of America,
Nell Scovell,female,1960-11-08,United States of America,Newton
Albert Uderzo,male,1927-04-25,France,Fismes
Martin Sixsmith,male,1954-09-24,United Kingdom,Cheshire
Arundhati Roy,female,"1961-11-24, 1961-11-23, 1961-09-24",India,Shillong
Alex Haley,male,1921-08-11,"United States of America, Mali",Ithaca
Edmund de Waal,male,1964-01-01,United Kingdom,Nottingham
Françoise Sagan,female,1935-06-21,France,Cajarc
Linda Sue Park,female,1960-03-25,United States of America,Urbana
Robin Cook,male,1946-02-28,United Kingdom,Bellshill
Chinua Achebe,male,1930-11-16,"Colonial Nigeria, Nigeria", Anambra
Mark Mathabane,male,1960-10-18,South Africa,Alexandra
Malcolm Gladwell,male,1963-09-03,United Kingdom,Fareham
Kevin Powers,male,1980-07-11,United States of America,Richmond
Bruce Springsteen,male,1949-09-23,United States of America,Long Branch
Sarah Colonna,female,1974-12-29,United States of America,Wiesbaden
Paolo Giordano,male,1982-12-19,Italy,Turin
Charlotte Perkins Gilman,female,1860-07-03,United States of America,Hartford
Hallie Haglund,female,1982-01-01,United States of America,Denver
Esphyr Slobodkina,female,1908-09-22,"Russia, United States of America",Chelyabinsk
Chris Ware,male,1967-12-28,United States of America,Omaha
Dave McCaig,male,1971-12-06,Canada,Thunder Bay
Masashi Kishimoto,male,1974-11-08,Japan,Nagi
Teddy Kristiansen,male,1964-01-01,Denmark,Denmark
Alison Weir,female,1951-06-08,United Kingdom,Lambeth
Julie Kagawa,female,1982-10-12,United States of America,Sacramento
Mark Waid,male,1962-03-21,United States of America,Hueytown
Anne Brontë,female,1820-01-17,United Kingdom of Great Britain and Ireland,Thornton
Theodore Sturgeon,male,1918-02-26,United States of America,Staten Island
Tom Rachman,male,1974-01-01,Canada,Greater London
Peter Laslett,male,1915-12-18,United Kingdom,Bedford
Harriet Jacobs,female,1813-00-00,United States of America,Edenton
Marshall McLuhan,male,1911-07-21,Canada,Edmonton
Alfred Lansing,male,1921-07-21,United States of America,Chicago
Joyce Meyer,female,1943-06-04,United States of America, Louis
Giada De Laurentiis,female,1970-08-22,United States of America,Rome
Blanche Fisher Wright,female,1887-06-00,United States of America,Wisconsin
Lewis Nordan,male,1939-08-23,United States of America,Forest
Charles Perrault,male,1628-01-12,France,Paris
Jerry Robinson,male,1922-01-01,United States of America,Trenton
Oscar Hijuelos,male,1951-08-24,United States of America,Manhattan
Walter Lord,male,1917-10-08,United States of America,Baltimore
Elizabeth Wurtzel,female,1967-07-31,United States of America,New York City
Joshua Ferris,male,1974-11-08,United States of America,Danville
Joyce Carol Oates,female,1938-06-16,United States of America,Lockport
Melvin Burgess,male,1954-04-25,Spain,Twickenham
Sylvia Day,female,1973-03-11,United States of America,Los Angeles
Chris Gardner,male,1954-02-09,United States of America,Milwaukee
Edward D. Hoch,male,1930-02-22,United States of America,Rochester
Julietta Suzuki,female,2000-00-00,Japan,Fukuoka
Steve McNiven,male,1967-01-01,Canada,Halifax
Michel Houellebecq,male,"1956-02-26, 1958-01-01",France,Pierre
John Bolton,male,1948-11-20,United States of America,Baltimore
Kathleen E. Woodiwiss,female,1939-06-03,United States of America,Alexandria
Simon Singh,male,1964-09-19,United Kingdom,Wellington
Eric Drysdale,male,1969-03-20,United States of America,New York City
Maud Hart Lovelace,female,1892-04-25,United States of America,Mankato
Rachel Hartman,female,1972-07-09,United States of America,Lexington
Allan Pease,male,1952-01-01,Australia,Melbourne
Shirley Jackson,female,1916-12-14,United States of America,San Francisco
Kelly Link,female,1969-07-19,United States of America,Miami
Philip K. Dick,male,1928-12-16,United States of America,Chicago
Kate Atkinson,female,1951-12-20,United Kingdom,York
Dorothy Koomson,female,1971-01-01,United Kingdom,London
Sadegh Hedayat,male,1903-02-17,Iran,Tehran
Yann Martel,male,1963-06-25,Canada,Salamanca
Laurell K. Hamilton,female,1963-02-19,United States of America,Heber Springs
Michael A. Stackpole,male,1957-11-27,United States of America,Wausau
Sarah McCoy,female,1980-00-00,United States of America,Fort Knox
James Lincoln Collier,male,1928-06-27,United States of America,New York City
Martin Luther King Jr.,male,1929-01-15,United States of America,Atlanta
Yukio Mishima,male,1925-01-14,Japan,Tokyo
Basil Copper,male,1924-02-05,United Kingdom,London
Bettina Abarbanell,female,1961-00-00,Germany,Hamburg
Jonathan Franzen,male,1959-08-17,United States of America,Western Springs
William L. Shirer,male,1904-02-23,United States of America,Chicago
Charlie Jane Anders,transgender female,1969-00-00,United States of America,Connecticut
Laura Ingalls Wilder,female,1867-02-07,United States of America,Wisconsin
Daniel Glattauer,male,1960-05-19,Austria,Vienna
Peter de Sève,male,1958-00-00,United States of America,Queens
Brian Tracy,male,1944-01-05,United States of America,Charlottetown
Federico García Lorca,male,1898-06-05,Spain,Fuente Vaqueros
Loretta Chase,female,1949-06-02,United States of America,United States of America
Frederick Douglass,male,1818-02-14,United States of America,Talbot County
Marcus Buckingham,male,1966-01-11,United Kingdom,Radlett
Daniel Defoe,male,1660-09-13,"Kingdom of England, Great Britain, United Kingdom",Ward of Cripplegate
Peter Hedges,male,1962-07-06,United States of America,West Des Moines
Winston Groom,male,1943-03-23,United States of America,
Brad Thor,male,1969-08-21,United States of America,Chicago
Keith Ward,male,1938-08-22,United Kingdom,Hexham
Jane Chapman,female,"1970-00-00, 1950-05-20",United Kingdom,Plymouth
Rainer Maria Rilke,male,1875-12-04,"Germany, Austria, Hungary",Prague
Cressida Cowell,female,1966-04-15,United Kingdom,London
Elly Griffiths,female,1963-08-17,United Kingdom,London
David J. Skal,male,1952-06-21,United States of America,Garfield Heights
Adam Smith,male,"1723-06-05, 1723-06-05",Great Britain,Kirkcaldy
Edmond Rostand,male,1868-04-01,France,Marseille
Garth Stein,male,1964-12-06,United States of America,Los Angeles
Anthony Doerr,male,1973-01-01,United States of America,Cleveland
Jodi Picoult,female,1966-05-19,United States of America,Nesconset
Amy Gentry,female,1903-07-26,"United Kingdom, United Kingdom of Great Britain and Ireland",Barnes
Arlene Mosel,female,1921-08-27,United States of America,Cleveland
Matt Ridley,male,1958-02-07,United Kingdom,Northumberland
Ann Long,female,1936-01-01,United Kingdom,Ilford
Margaret Edson,female,1961-07-04,United States of America,
Barbara Ehrenreich,female,1941-08-26,United States of America,Butte
Jacquelyn Frank,female,1968-02-22,United States of America,United States of America
Maggie Shipstead,female,1983-00-00,United States of America,Mission Viejo
Carl Sagan,male,1934-11-09,United States of America,Brooklyn
Sarah Addison Allen,female,1971-03-30,United States of America,Asheville
Horace Walpole,male,1717-09-24,Great Britain,London
Kate Jacobs,female,1959-01-11,United States of America,Alexandria
John Berger,male,1926-11-05,United Kingdom,London Borough of Hackney
Frances Mayes,female,1940-04-04,United States of America,Fitzgerald
Lurlene McDaniel,female,1944-04-05,United States of America,Philadelphia
Judith McNaught,female,1944-05-10,United States of America,San Luis Obispo
Jeanne Birdsall,female,1951-01-01,United States of America,Philadelphia
Terry Bisson,male,1942-02-12,United States of America,Owensboro
Josh McDowell,male,1939-08-17,United States of America,Union City
Malika Oufkir,female,1953-04-02,Morocco,Marrakesh
Bruno Bettelheim,male,1903-08-28,"United States of America, Austria",Vienna
Clare Mackintosh,female,1976-08-28,United Kingdom,Bristol
Cecelia Ahern,female,1981-09-30,Ireland,Dublin
Erskine Caldwell,male,1903-12-17,United States of America,Coweta County
José Emilio Pacheco,male,1939-06-30,Mexico City,Mexico City
Alexandra Ripley,female,1934-01-08,United States of America,Charleston
Richard Seaver,male,1926-12-31,United States of America,Watertown
Gert Westphal,male,1920-10-05,Germany,Dresden
Hope Jahren,female,1969-09-27,United States of America,Austin
Dorothy Britton,female,"1922-02-14, 1922-01-01",United Kingdom,Yokohama
Allen Mandelbaum,male,"1926-05-04, 1926-05-14",United States of America,Albany
Lauren Conrad,female,1986-02-01,United States of America,Laguna Beach
Jim Aparo,male,1932-08-24,United States of America,New York City
Anatole France,male,1844-04-16,France,Paris
Roy Thomas,male,1940-11-22,United States of America,Jackson
Eva Ibbotson,female,"1925-01-21, 1925-01-25",United Kingdom,Vienna
Arlette Elkaïm-Sartre,female,1935-00-00,France,Constantine
Donna Woolfolk Cross,female,1947-01-01,United States of America,New York City
Paul Cornell,male,1967-07-18,United Kingdom,Chippenham
Gary Paulsen,male,1939-05-17,United States of America,Minneapolis
Liane Moriarty,female,1966-11-15,Australia,Sydney
Neal Stephenson,male,1959-10-31,United States of America, Meade
Kyousuke Motomi,female,2000-00-00,Japan,Japan
Kazune Kawahara,female,1972-03-11,Japan,Takikawa
Rebecca Stead,female,1968-01-16,United States of America,New York City
Brett Breeding,male,1961-06-13,United States of America,Wilmington
Clive Cussler,male,1931-07-15,United States of America,Aurora
Garth Ennis,male,1970-01-16,Northern Ireland,Holywood
Mo Willems,male,1968-02-11,United States of America,"New Orleans, Chicago"
Mercedes Lackey,female,1950-06-24,United States of America,Chicago
Charles C. Mann,male,1955-06-12,United States of America,United States of America
Gillian Flynn,female,1971-02-24,United States of America,Kansas City
Yaa Gyasi,female,1989-00-00,United States of America,Mampong
Herman Melville,male,1819-08-01,United States of America,Manhattan
Mike Lupica,male,1952-05-11,United States of America,New York City
Edith Hamilton,female,1867-08-12,"Germany, United States of America",Dresden
Steve Toltz,male,1972-01-01,Australia,Sydney
Thomas E. Sniegoski,male,1962-02-04,United States of America,Massachusetts
Marcella Hazan,female,1924-04-15,"Italy, Kingdom of Italy",Cesenatico
Danielle Steel,female,1947-08-14,United States of America,New York City
Alan Bennett,male,1934-05-09,United Kingdom,Armley
Oprah Winfrey,female,1954-01-29,United States of America,Kosciusko
Jennifer L. Holm,female,1968-10-00,United States of America,Santa Barbara County
Jack Ketchum,male,1946-11-10,United States of America,Livingston
Joanne Fluke,female,1943-01-01,United States of America,Swanville
Lori Nelson Spielman,female,1961-04-30,United States of America,Lansing
Yevgeny Zamyatin,male,"1884-01-20, 1884-02-01","Russian Empire, Soviet Union",Lebedyan
Rob Lowe,male,1964-03-17,United States of America,Charlottesville
Jonathan Safran Foer,male,1977-02-21,United States of America,
Yana Toboso,female,1984-01-24,Japan,Warabi
Alex Ross,male,1970-01-22,United States of America,Portland
Pramoedya Ananta Toer,male,"1925-02-06, 1925-02-20",Indonesia,Blora
Liz Murray,female,1980-09-23,United States of America,The Bronx
Edan Lepucki,female,1981-00-00,United States of America,Łódź
David Lasky,male,1967-12-08,United States of America,
Sogyal Rinpoche,male,1947-00-00,,Kham
Cheryl Rainfield,female,1972-08-19,Canada,Toronto
Washington Irving,male,1783-04-03,United States of America,New York City
Marcus Samuelsson,male,1970-01-25,Sweden,Addis Ababa
Javier Pulido,male,1970-01-01,Spain,Las Palmas de Gran Canaria
Michael Thomas Ford,male,1968-10-01,United States of America,Monrovia
Gwyn Hyman Rubio,female,1949-08-07,United States of America,Macon
Lois Lenski,female,1893-10-14,United States of America,Springfield
Connor Franta,male,"1992-09-12, 1992-11-12",United States of America,La Crosse
Nikki Sixx,male,"1958-12-10, 1958-12-11",United States of America,San Jose
John Ajvide Lindqvist,male,1968-12-02,Sweden,Stockholm
Leo Lionni,male,1910-05-05,"Italy, United States of America, Kingdom of Italy",Amsterdam
Anna Todd,female,1989-03-20,United States of America,Dayton
Hillary Jordan,female,1963-09-27,United States of America,Dallas
Ralph Ellison,male,1914-03-01,United States of America,Oklahoma City
Alistair MacLean,male,"1922-04-21, 1922-04-28",United Kingdom,Shettleston
Amanda Palmer,female,1976-04-30,United States of America,New York City
Ellis Avery,female,1972-10-25,United States of America,Columbus
Joe Haldeman,male,1943-06-09,United States of America,Oklahoma City
Joyce Maynard,female,1953-11-05,United States of America,Durham
Hannah Hurnard,female,1905-01-01,"United Kingdom, United Kingdom of Great Britain and Ireland",Colchester
Ellen DeGeneres,female,1958-01-26,United States of America,Metairie
Ken Follett,male,1949-06-05,"United Kingdom, Wales",Cardiff
John Watkiss,male,1961-07-28,United Kingdom,Trent
Jean-Jacques Rousseau,male,1712-06-28,"Republic of Geneva, France",Geneva
Maria V. Snyder,female,1969-01-01,United States of America,Philadelphia
Katharine Hepburn,female,1907-05-12,United States of America,Hartford
Ovid,male,-0043-03-20,Ancient Rome,Sulmona
Janet Fitch,female,1955-11-09,United States of America,Los Angeles
Nic Pizzolatto,male,1975-10-18,United States of America,New Orleans
Maurice Sendak,male,1928-06-10,United States of America,Brooklyn
Dan Ariely,male,1967-04-29,United States of America,New York City
Sara Paretsky,female,1947-06-08,United States of America,Ames
Rhoda Janzen,female,2000-01-01,United States of America,North Dakota
Stevie Davies,female,1946-01-01,United Kingdom,Salisbury
Suzanne Collins,female,1962-08-10,United States of America,Hartford
Władysław Szpilman,male,1911-12-05,"Russian Empire, Second Polish Republic, s Republic, Poland",Sosnowiec
Benjamin Hoff,male,1946-01-01,United States of America,Oregon
Amy Waldman,female,1969-05-21,United States of America,United States of America
Ned Vizzini,male,1981-04-04,United States of America,New York City
Ian Fleming,male,1908-05-28,United Kingdom,Mayfair
Tim Winton,male,1960-08-04,Australia,Perth
Melissa Marr,female,1972-07-25,United States of America,Pennsylvania
Fuyumi Soryo,female,1959-01-06,Japan,Beppu
