name,sex_or_gender,date_of_birth,country_of_citizenship,place_of_birth
Rien Poortvliet,male,1932-08-07,Kingdom of the Netherlands,Schiedam
Louis Sachar,male,1954-03-20,United States of America,New York City
Virginia Lee Burton,female,1909-08-30,United States of America,Newton Centre
Edith Hahn Beer,female,1914-01-24,"Austria, Israel",Vienna
Tori Spelling,female,1973-05-16,United States of America,Los Angeles
Ambrose Bierce,male,1842-06-24,United States of America,Meigs County
Pearl S. Buck,female,1892-06-26,United States of America,Hillsboro
Nadia Hashimi,female,"1977-12-00, 1978-00-00",United States of America,"Queens, New York City"
Jenő Barcsay,male,1900-01-14,Hungary,Cătina
George Eliot,female,1819-11-22,United Kingdom of Great Britain and Ireland,Nuneaton
Lee Goldberg,male,1962-02-20,United States of America,United States of America
Arun Tiwari,male,1955-02-10,India,Meerut
Rachel Dratch,female,1966-02-22,United States of America,Lexington
Robertson Davies,male,1913-08-28,Canada,"Thamesville, Thamesville"
T. Colin Campbell,male,1934-03-14,United States of America,United States of America
Jim Gaffigan,male,1966-07-07,United States of America,Chesterton
Judith Guest,female,1936-03-29,United States of America,Detroit
Jenny Colgan,female,1972-09-14,United Kingdom,Prestwick
James Surowiecki,male,1967-04-30,United States of America,Meriden
Paullina Simons,female,1963-01-01,United States of America,Saint Petersburg
Amin Maalouf,male,1949-02-25,Lebanon,Beirut
Max Hayward,male,1924-07-28,"United Kingdom, United Kingdom of Great Britain and Ireland",Greater London
Kiran Desai,female,1971-09-03,India,New Delhi
Patrick O'Brian,male,1914-12-12,United Kingdom,Chalfont St Peter
Tony Kushner,male,1956-07-16,United States of America,Manhattan
Margot Livesey,female,1953-01-01,United States of America,Scotland
John Schoenherr,male,1935-07-05,United States of America,New York City
Leslie Feinberg,transgender female,1949-09-01,United States of America,Kansas City
Angie Sage,female,1952-06-19,United Kingdom,London
Donald Hall,male,1928-09-20,United States of America,New Haven
Mary Karr,female,1955-01-16,United States of America,Groves
Chip Zdarsky,male,1975-12-21,Canada,Edmonton
Michael Reaves,male,1950-09-14,United States of America,San Bernardino
Rachel Maddow,female,1973-04-01,United States of America,Castro Valley
Christopher Paolini,male,1983-11-17,United States of America,Los Angeles
Miles Millar,male,1967-00-00,United Kingdom,United Kingdom
Howard Pyle,male,"1853-03-05, 1853-03-15, 1853-04-05, 1853-01-01",United States of America,Wilmington
Joël Dicker,male,1985-06-16,Switzerland,Geneva
Peter F. Hamilton,male,1960-03-02,United Kingdom,Rutland
Bohumil Hrabal,male,1914-03-28,Czech Republic,Židenice
Ransom Riggs,male,1979-02-03,United States of America,Maryland
Roland Barthes,male,1915-11-12,France,Cherbourg
Keri Hulme,female,1947-03-09,New Zealand,Christchurch
Jeffrey Zaslow,male,1958-10-06,United States of America,Broomall
Anne Rice,female,1941-10-04,United States of America,New Orleans
Mike Allred,male,1969-02-20,United States of America,Roseburg
Emily Dickinson,female,1830-12-10,United States of America,"Amherst, Emily Dickinson Museum"
Rex Warner,male,1905-03-09,United Kingdom,Birmingham
Lindsey Kelk,female,1980-10-03,United Kingdom,Doncaster
Banksy,male,1970-00-00,United Kingdom,Bristol
Matthew Quick,male,1973-10-23,United States of America,Camden
Wilbur Smith,male,1933-01-09,Zambia,Kabwe
Ibn Warraq,male,1946-01-01,"British India, Dominion of India, India",Rajkot
Henry Hazlitt,male,1894-11-28,United States of America,Philadelphia
Stephen Lang,male,1952-07-11,United States of America,New York City
Téa Obreht,female,1985-09-30,United States of America,Belgrade
Evan Wright,male,1966-01-01,United States of America,Cleveland
Maeve Binchy,female,"1940-05-28, 1939-05-28, 1939-05-29",Ireland,Dalkey
Adam Hochschild,male,1942-10-05,United States of America,New York City
Leigh Bardugo,female,1975-04-06,United States of America,Jerusalem
Steven Curtis Chapman,male,1962-11-21,United States of America,Paducah
José Mauro de Vasconcelos,male,"1920-02-24, 1920-02-26",Brazil,Rio de Janeiro
Lynn Varley,female,1958-03-11,United States of America,United States of America
Eric Clapton,male,1945-03-30,"United Kingdom, United States of America",Ripley
Susan Einzig,female,1922-11-16,United Kingdom,Berlin
Grace Lin,female,1974-05-17,United States of America,New Hartford
Howard Jacobson,male,1942-08-25,United Kingdom,Manchester
Hannah Kent,female,1985-01-01,Australia,Adelaide
Morris Gleitzman,male,1953-01-09,"Australia, Martinique",Sleaford
Immanuel Kant,male,1724-04-22,"Kingdom of Prussia, Kingdom of Prussia",Königsberg
Mark Halperin,male,1965-01-11,United States of America,Bethesda
Todd Strasser,male,1950-05-05,United States of America,New York City
Joan Aiken,female,1924-09-04,United Kingdom,Rye
Philipp Meyer,male,1974-05-01,United States of America,New York City
Tim Harford,male,1973-09-27,United Kingdom,England
Jenna Blum,female,1970-01-01,United States of America,United States of America
Richard A. Knaak,male,1961-05-28,United States of America,Chicago
Thornton Wilder,male,1897-04-17,United States of America,Madison
Kenneth Womack,male,1966-01-24,United States of America,Houston
Kresley Cole,female,2000-01-01,United States of America,United States of America
Louise Rennison,female,"1951-11-19, 1951-10-11, 1951-11-11",United Kingdom,Leeds
Christopher Chabris,male,1966-11-19,United States of America,United States of America
Jane Austen,female,1775-12-16,Great Britain,Steventon
Neil Armstrong,male,1930-08-05,United States of America,Wapakoneta
George Bernard Shaw,male,1856-07-26,"Ireland, United Kingdom of Great Britain and Ireland, United Kingdom",Dublin
F. Murray Abraham,male,1939-10-24,United States of America,Pittsburgh
Melissa Bank,female,1961-01-01,United States of America,Philadelphia
Terry Brooks,male,1944-01-08,United States of America,Sterling
Anne Fadiman,female,1953-08-07,United States of America,New York City
Lauren Groff,female,1978-07-23,United States of America,Cooperstown
Søren Kierkegaard,male,1813-05-05,Denmark,Copenhagen
Gilbert Ford,male,1931-09-14,United States of America,Tulia
Randy Shilts,male,1951-08-08,United States of America,Davenport
Carson McCullers,female,1917-02-19,United States of America,Columbus
Jonathan Kellerman,male,1949-08-09,United States of America,New York City
Barbara Taylor Bradford,female,"1933-05-10, 1933-05-05",United Kingdom,Leeds
Charles Wheelan,male,1966-01-01,United States of America,Cincinnati
Lawrence Wright,male,1947-08-02,United States of America,Oklahoma City
Tom Rath,male,1975-00-00,United States of America,Lincoln
Arthur Koestler,male,1905-09-05,"Hungary, United Kingdom",Budapest
Elizabeth George,female,1949-02-26,United States of America,Warren
Curt Gentry,male,1931-06-13,United States of America,Lamar
Jay Anson,male,1921-11-04,United States of America,New York City
Virgil,male,"-0070-10-15, -0070-00-00",Ancient Rome,Borgo Virgilio
Daniel Goleman,male,1946-03-07,United States of America,Stockton
Jaclyn Moriarty,female,1968-01-01,Australia,Sydney
Tracy Hickman,male,1955-11-26,United States of America,Salt Lake City
Ron Powers,male,1941-11-18,United States of America,Hannibal
Donald McCaig,male,"1940-01-01, 1940-05-01",United States of America,Butte
Garth Williams,male,1912-04-16,United States of America,New York City
